10009	What are the six Achology CPD member levels?	six-achology-cpd-statuses	4194	<p>Achology's CPD pathway runs through six member levels, in order: Achology Member, Achologist, Achologist Adept, Senior Achologist I, Senior Achologist II, and Master Achologist. CPD means continuing professional development, the record of practice and learning you build over time. Six levels means five steps up, and every one of them is earned through practice that somebody else has checked, not through time served, fees paid, or a course finished and filed away.</p>\n<h2>What each level means</h2>\n<ul><li><strong>Achology Member</strong>: the starting point, where learning stops being something you watch and becomes something you take part in.</li><li><strong>Achologist</strong>: foundational competence in practice, ethics, and self-awareness. This is the first verified level.</li><li><strong>Achologist Adept</strong>: the turning point. You begin coaching others and hosting sessions, rather than only receiving them.</li><li><strong>Senior Achologist I and II</strong>: theory, practice, and leadership brought together, and the stage at which you start coaching people from outside the community.</li><li><strong>Master Achologist</strong>: the highest level, reached through mastery, mentorship, and contribution to other members' development.</li></ul>\n<h2>What the first year actually looks like</h2>\n<p>The pathway can read as a wall of requirements, so it helps to see the first step on its own. To move from Member to <a href="/help/certificates-cpd-accreditation/progress-member-achologist/">Achologist</a>, you complete one Practitioner Certification course, attend six <a href="/help/events-and-mentorship/valts-achology/">VALTS (Virtual Achologist Led Training Sessions)</a>, the community's live group training, across at least two different types, and receive six <a href="/help/events-and-mentorship/pals-earn-them/">PALS (Peer-Peer Applied Learning Sessions)</a>, one-to-one coaching delivered to you by another member. Notice that nothing on that first list asks you to coach anyone. That is deliberate: before you sit opposite someone who has brought you a real problem, the design wants you to have been that person six times over.</p>\n<p>From <a href="/help/certificates-cpd-accreditation/achologist-adept/">Achologist Adept</a> onward the direction reverses and you start delivering: coaching other members, co-hosting, then hosting your own sessions. At <a href="/help/certificates-cpd-accreditation/senior-achologist-two-levels/">Senior Achologist I</a>, a third kind of activity begins, <a href="/help/events-and-mentorship/cips-when-need-them/">CIPS (Competency Improvement Practice Sessions)</a>, complimentary coaching offered to people outside Achology, which is the closest the pathway comes to real professional practice.</p>\n<h2>How you move between levels</h2>\n<p>Each level has a cumulative checklist, meaning everything earned at earlier levels carries forward. It draws on Practitioner Certification courses, VALTS attended, PALS delivered and received, and, from Senior Achologist I, CIPS, alongside annual Code of Ethics training and Code of Character and Conduct compliance. Every claim is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">checked by SoMAP</a>, the Society of Modern Applied Psychology, an independent body, before it counts.</p>\n<h2>Why the levels matter, and one to know early</h2>\n<p>A verified level is not a badge for its own sake. It is what lets someone outside Achology, a prospective client, an employer, another member choosing a mentor, rely on your standing without having to take your word for it. That is the whole reason the checks exist. It is also why Master Achologist is <a href="/help/certificates-cpd-accreditation/have-each-year-keep-master-achologist/">the one level that is not permanent</a>: it has to be renewed each year, so that the highest standing in the community always describes someone still doing the work, not someone who once did.</p>\n<p>If the full pathway looks daunting from where you are standing, nobody meets it all at once. Most members are working on one level at a time, and the first step asks considerably less than the whole list suggests.</p>
10010	What does it mean to be an Achologist Adept?	achologist-adept	2608	<p>Achologist Adept is <a href="/help/certificates-cpd-accreditation/six-achology-cpd-statuses/">the third member level</a>, one step above Achologist, and it is where the direction of everything reverses. Until now you have been receiving: coached by others, taught by others, sitting in sessions someone else runs. At Adept, you start delivering.</p>\n<h2>What you need to reach it</h2>\n<p>These totals are cumulative, including everything already earned:</p>\n<ul><li>2 Practitioner Certification courses in total.</li><li>12 <a href="/help/events-and-mentorship/valts-achology/">VALTS (Virtual Achologist Led Training Sessions)</a> in total: attend 8, and co-host or host 4, across at least 2 session types.</li><li>12 <a href="/help/events-and-mentorship/pals-earn-them/">PALS (Peer-Peer Applied Learning Sessions)</a> received as a client.</li><li>6 PALS delivered as a coach.</li><li>The live <a href="/help/certificates-cpd-accreditation/have-retake-code-ethics-training-every/">Code of Ethics training</a> completed within the past 12 months. This annual requirement starts here.</li><li>All 10 <a href="/help/community-and-conduct/achology-code-character-conduct-ccac/">Code of Character and Conduct (CCaC)</a> sessions completed, then 8 of the 10 kept current.</li></ul>\n<h2>What actually changes</h2>\n<p>Three things begin at Adept that were not asked of you before.</p>\n<p>You coach another member for the first time, as the practitioner rather than the client. You move from co-hosting into hosting your own sessions. And the annual ethics training becomes a permanent fixture at every level above this one.</p>\n<p>That yearly return to the Code of Ethics is not box-ticking. It is what lets you tell a client, honestly, that you have thought about ethical practice recently, rather than once, years ago, before you had ever sat with a real person.</p>\n<h2>On the first coaching session</h2>\n<p>Most people find the first one the hard part, and that is entirely normal.</p>\n<p>Worth remembering: by the time you reach Adept you will have received twelve coaching sessions yourself. You have seen it done twelve times, from the seat of the person it was done for.</p>\n<p>That is the design, not a coincidence. It is also why the character strand matters more from here: holding <a href="/help/community-and-conduct/many-ccac-sessions-need-complete-often/">8 of your 10 CCaC sessions current</a> is what keeps your standing, so <a href="/help/certificates-cpd-accreditation/progress-member-achologist/">the step up from Achologist</a> is as much about staying engaged as ticking activities off.</p>
10011	What is a Senior Achologist, and what are the two levels?	senior-achologist-two-levels	2497	<p>A Senior Achologist has moved past <a href="/help/certificates-cpd-accreditation/achologist-adept/">Achologist Adept</a> into the advanced stage of the pathway. There are two levels, and the difference between them is roughly the difference between practising well and being able to develop other people.</p>\n<h2>Senior Achologist I</h2>\n<p>This is where coaching people outside Achology begins. Cumulatively, you need 3 Practitioner Certification courses including the Diploma Course in Modern Applied Psychology (DiMAP), 1 course from the School of Personal Growth and Development, 24 <a href="/help/events-and-mentorship/valts-achology/">VALTS</a> with all 6 session types covered, 18 <a href="/help/events-and-mentorship/pals-earn-them/">PALS</a> received and 12 delivered, and 10 <a href="/help/events-and-mentorship/cips-when-need-them/">CIPS</a>, with Code of Ethics and CCaC compliance current.</p>\n<p>The real change here is the CIPS: complimentary coaching offered to people outside the community. Coaching a fellow member is one thing; they understand the learning context and forgive the rough edges.</p>\n<p>Coaching someone from outside, who simply wants help, is another thing entirely. It is the step from practising in a safe room to doing the actual work, which is why it waits until this level.</p>\n<p>There is a quieter marker of the shift too: at least one of the twelve coaching sessions you deliver here must be a Live Coaching Practice session, coached in front of observers who then give feedback. Public practice starts at Senior I and becomes the theme of Senior II.</p>\n<h2>Senior Achologist II</h2>\n<p>This level is about advanced facilitation and coaching in public. The numbers grow (36 VALTS, 24 PALS received, 24 delivered, 24 CIPS), but the meaningful shift is in the kind of coaching required.</p>\n<p>Eight of your delivered PALS must now come from the harder formats: coaching while a group observes, coaching in a live <a href="/help/events-and-mentorship/coaching-hot-seat/">HOT Seat</a>, or hosting a tutorial. These are the formats that put your practice in front of feedback, which is how it sharpens.</p>\n<p>Both levels are cumulative, so nothing resets. Above Senior Achologist II sits <a href="/help/certificates-cpd-accreditation/have-each-year-keep-master-achologist/">Master Achologist</a>, and every claim along the way is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified by SoMAP</a> before it counts.</p>
10012	How can I advance from Achology Member to Achologist?	progress-member-achologist	2502	<p>Three things: complete one Practitioner Certification course, attend six live group training sessions, and receive six one-to-one coaching sessions as a client. Once <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">SoMAP</a> has checked each one, you are an Achologist, <a href="/help/certificates-cpd-accreditation/six-achology-cpd-statuses/">the second of the six member levels</a>.</p>\n<h2>The first step in full</h2>\n<ul><li>1 Practitioner Certification course completed.</li><li>6 <a href="/help/events-and-mentorship/valts-achology/">VALTS (Virtual Achologist Led Training Sessions)</a> attended, across at least 2 session types.</li><li>6 <a href="/help/events-and-mentorship/pals-earn-them/">PALS (Peer-Peer Applied Learning Sessions)</a> received as a client: one-to-one coaching delivered to you by another member.</li></ul>\n<h2>How long it tends to take</h2>\n<p>There is no fixed clock on this. The courses are self-paced, and the six sessions and six coaching slots happen at the rhythm of the live calendar, so most people measure this step in months rather than weeks, fitted around the rest of life.</p>\n<p>A realistic first month is less about racing the checklist and more about finding your feet: working through a course, sitting in on a few sessions, and receiving your first coaching as a client.</p>\n<p>The annual Code of Ethics training is not required for this step; it <a href="/help/certificates-cpd-accreditation/achologist-adept/">begins at Achologist Adept</a>. You will need all ten <a href="/help/community-and-conduct/achology-code-character-conduct-ccac/">Code of Character and Conduct</a> sessions before progressing past Achologist, so many members quietly work through those during this stage rather than facing them all later.</p>\n<h2>Why you receive before you deliver</h2>\n<p>Notice that nothing on this list asks you to coach anyone. That is deliberate, and it may be the most considered decision in the whole pathway.</p>\n<p>Before you sit opposite someone who has brought you a real problem, the design wants you to have been that person six times over: to know what it feels like when a coach rushes you, or fills a silence you needed. You learn that from the other chair, not from a module.</p>\n<p>If you are not yet a member, the <a href="/help/membership-and-access/there-free-achology-membership-include/">free membership tier</a> lets you apply for coaching and attend free events, which is where most people start.</p>
10013	What are my requirements to maintain Master Achologist status?	have-each-year-keep-master-achologist	2369	<p>Master Achologist is not a title you keep by having earned it. Every calendar year, from 1 January of your first full year after qualifying, you complete a set of annual requirements. Miss them and the status lapses until you restore it.</p>\n<h2>What each year asks</h2>\n<ul><li>10 <a href="/help/events-and-mentorship/valts-achology/">VALTS</a> hosted: two each of the five host-eligible types.</li><li>8 <a href="/help/events-and-mentorship/pals-earn-them/">PALS</a> delivered as a coach, spread across the coaching and tutorial formats.</li><li>6 PALS received as a client.</li><li>At least 8 <a href="/help/events-and-mentorship/cips-when-need-them/">CIPS</a>: complimentary coaching offered to people outside Achology.</li><li><a href="/help/certificates-cpd-accreditation/have-retake-code-ethics-training-every/">Code of Ethics annual training</a> completed, and CCaC sessions kept at 8 of 10 current.</li></ul>\n<h2>What a maintenance year actually looks like</h2>\n<p>Read that list again and notice what it describes: someone hosting regularly, coaching others, still being coached themselves, and working with people outside the community.</p>\n<p>In other words, it is not a set of hoops. It is a picture of a practitioner still fully in the practice, which is exactly what the title is meant to signify.</p>\n<h2>Why it has to be renewed</h2>\n<p>Because the alternative makes the title dishonest. If Master Achologist were permanent, it would eventually describe people who reached a standard once, years ago, and have not practised since.</p>\n<p>Anyone relying on that standing, a client, an employer, another member choosing a mentor, would be relying on history rather than anything current. The annual requirements keep the meaning attached to the person.</p>\n<p>They are also lighter than the full pathway that got you here, because they are a yearly rhythm rather than a climb: host a little, coach a little, keep your compliance current, and the status holds.</p>\n<h2>If you fall short</h2>\n<p>The status lapses and is restored once the requirements are met again. Nothing you achieved is erased. Every activity is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified by SoMAP</a> before it counts, the same as at <a href="/help/certificates-cpd-accreditation/six-achology-cpd-statuses/">every other level</a>.</p>
10014	What are VALTS learning sessions within Achology?	valts-achology	3013	<p>VALTS, which stands for Virtual Achologist Led Training Sessions, are Achology's live group training sessions: 90-minute events, led by senior members of the community, where you practise applied psychology rather than only watch it explained. They are the backbone of community learning, and attending them is how you earn VALTS credit toward <a href="/help/certificates-cpd-accreditation/six-achology-cpd-statuses/">your next member level</a>.</p>\n<h2>What a session is actually like</h2>\n<p>A VALTS session is built to be taken part in, not sat through. You join a small group live, work through a skill or an idea with other members, and get observation and feedback in real time. The point is that a technique from a course only becomes yours once you have tried it on a real person and heard honestly how it landed. That is something no recorded lecture can give you, and it is why the sessions are capped in length and kept practical.</p>\n<h2>The six types</h2>\n<p>There are six VALT types, each developing a different muscle:</p>\n<ul><li>Skill Development Workshop: practise a specific skill from a course with a partner or small group, with feedback from the host.</li><li>Principle-Based Reflective Discussion: work a single principle through a set of questions and apply it to your own life.</li><li>Case Study-Based Discussion Group: analyse real or hypothetical coaching scenarios as a group.</li><li>The Coaching HOT Seat: one member takes a live challenge while up to three Achologists coach them and others observe.</li><li>Live Coaching Practice, Observation and Feedback: an Achologist coaches a member, then receives structured feedback from senior members.</li><li>Achologist-Led Tutorial: a member teaches a topic from a course to the group, then receives feedback on their delivery.</li></ul>\n<h2>Why live, and not just video</h2>\n<p>Achology's whole learning model rests on a simple conviction: information is easy to gather, but competence is only built through practice, in company, with feedback. A practitioner who knows the theory but cannot apply it in a live conversation is informed, not yet skilled. VALTS are where that gap is closed, which is why the pathway requires them rather than treating them as optional extras.</p>\n<h2>How they fit the wider pathway</h2>\n<p>Attending a VALTS session earns you 1 VALTS credit. Once you reach the right level and complete the host training, hosting one earns you a <a href="/help/events-and-mentorship/pals-earn-them/">PALS credit</a> instead, because you have moved from receiving to delivering. Early on, the requirement is modest: six VALTS across at least two types to reach <a href="/help/certificates-cpd-accreditation/progress-member-achologist/">Achologist</a>. Every session you attend is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified by SoMAP</a> before it counts, and once you are ready, you can <a href="/help/events-and-mentorship/host-own-achology-event/">host your own</a>.</p>
10015	What are PALS in Achology, and how can I earn them?	pals-earn-them	2687	<p>PALS, which stands for Peer-Peer Applied Learning Sessions, are the point where you stop receiving and start contributing. You earn a PALS credit by taking the coaching or facilitation role in a session, never by attending one: the credit goes to the practitioner delivering the work, not the participant. This is what separates PALS from <a href="/help/events-and-mentorship/valts-achology/">VALTS (Virtual Achologist Led Training Sessions)</a>, which you earn by turning up and taking part.</p>\n<h2>The four ways to earn them</h2>\n<p>There are four PALS types, and most members earn the bulk of their credits through the first:</p>\n<ul><li>One-to-one Focused Coaching Practice: a coaching session you deliver to another member, arranged through the Coaching Board in the community. This is the main route.</li><li>The Coaching HOT Seat, as coach: taking a coaching role during a live HOT Seat event, in front of others, in real time.</li><li>Live Coaching Practice, Observation and Feedback, as coach: coaching a member while a group observes and then gives feedback on the work.</li><li>Achologist-Led Tutorial, as host: teaching a topic from a course to a group of peers.</li></ul>\n<p>The last three are more demanding than the first, which is deliberate. From Senior Achologist II onward, eight of your delivered PALS must come from those alternative types, because each one builds a different edge: coaching under observation, coaching in public, and teaching. Hosting any <a href="/help/events-and-mentorship/valts-achology/">VALTS session</a> also earns you a PALS credit, once you are qualified to host.</p>\n<h2>Why you receive before you deliver</h2>\n<p>There is a reason the pathway has you receive coaching as a client before it asks you to deliver any. By the time you coach another member, you will have sat in the other chair yourself and felt what good and clumsy coaching are like from the inside. That is not something a module can teach you. It is why <a href="/help/certificates-cpd-accreditation/progress-member-achologist/">the first member level</a> asks for PALS received, and coaching delivered only begins at <a href="/help/certificates-cpd-accreditation/achologist-adept/">Achologist Adept</a>.</p>\n<h2>How they add up</h2>\n<p>Every PALS credit, delivered or received, is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified by SoMAP</a> before it counts toward your next level. The numbers grow as you climb, but they are cumulative and made up of the ordinary work of community life: coaching, being coached, and eventually teaching. Nobody sits down to complete them all at once; they accumulate as you take part.</p>
10016	What are CIPS in Achology, and when should I obtain them?	cips-when-need-them	2348	<p>CIPS, which stands for Competency Improvement Practice Sessions, are the closest the pathway comes to genuine professional practice. A CIPS credit is earned by offering a complimentary one-to-one coaching session to someone outside the Achology community: a real person, with a real challenge or goal, who simply wants help. You do not need any until <a href="/help/certificates-cpd-accreditation/senior-achologist-two-levels/">Senior Achologist I</a>, and there is a good reason for that timing.</p>\n<h2>What makes CIPS different</h2>\n<p>Coaching another member is valuable, but a fellow member understands the learning context, forgives the rough edges, and knows what you are trying to practise. Someone outside the community does none of that. They are not there to help you learn; they are there because they want support. That difference is the whole point. It is the step from practising in a safe room to doing the actual work, and it is the single most formative activity in the pathway precisely because it is the most demanding.</p>\n<h2>How you arrange them</h2>\n<p>CIPS are not scheduled calendar events like <a href="/help/events-and-mentorship/valts-achology/">VALTS</a>. They are arranged through the Get Free Coaching board, where people outside Achology browse and apply for sessions that members have offered. You deliver the session, and you earn one CIPS credit for it. To keep the practice broad rather than letting one relationship dominate, <a href="/help/events-and-mentorship/many-times-coach-same-person-cips/">no more than six sessions with the same individual</a> count toward your total.</p>\n<h2>Why they start at Senior Achologist I</h2>\n<p>By the time CIPS become required, you have already completed several courses, attended and hosted live sessions, and both received and delivered a good deal of <a href="/help/events-and-mentorship/pals-earn-them/">peer coaching</a>. In other words, you are ready. Asking a member to coach a stranger before that point would be asking them to run before they can walk. Placing CIPS at Senior Achologist I means that when you first coach someone from outside, you bring real course knowledge, real practice, and real feedback with you. Each session is <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified by SoMAP</a> before it counts.</p>
10017	Do I get a CPD credit for hosting a session, or just for attending?	earn-cpd-credit-hosting-session-only	1872	<p>Both, but the credit is different depending on your role. Attending a <a href="/help/events-and-mentorship/valts-achology/">VALTS (Virtual Achologist Led Training Sessions)</a> earns you one VALTS credit. Hosting one, once you are qualified to, earns you a <a href="/help/events-and-mentorship/pals-earn-them/">PALS (Peer-Peer Applied Learning Sessions)</a> credit instead, because hosting is delivery, not attendance.</p>\n<h2>The rule underneath it</h2>\n<p>The principle is simple: attending earns VALTS, delivering earns PALS.</p>\n<p>So in the group learning formats, a skill workshop, a reflective discussion, a case study group, the people taking part earn VALTS credit, and the qualified host earns a PALS credit for running the session.</p>\n<h2>How the coaching formats split</h2>\n<p>In the coaching formats it divides further, by role. Take a <a href="/help/events-and-mentorship/coaching-hot-seat/">Coaching HOT Seat</a>: the coaches earn PALS, the person coached earns a PALS received, the observers earn VALTS, and the host earns a PALS for hosting.</p>\n<p>The same logic runs through a Live Coaching Practice session: the coach earns PALS, the member coached earns a PALS received, and those watching earn VALTS.</p>\n<h2>Why it is set up this way</h2>\n<p>The split rewards what actually develops you. Turning up and taking part is real learning, and it earns real credit toward your progression.</p>\n<p>Delivering, hosting, or coaching asks more of you and builds a different skill, so it earns the credit that counts toward the delivery side. Whichever role you played, you <a href="/help/events-and-mentorship/submit-cpd-credit-claim-hosting-attending/">submit the claim</a> afterwards, it is verified before it lands on your record, and once you are ready you can <a href="/help/events-and-mentorship/host-own-achology-event/">host your own event</a>.</p>
10018	What is the duration of an Achology VALTS session?	long-achology-valts-session	1354	<p>Ninety minutes. Every <a href="/help/events-and-mentorship/valts-achology/">VALTS session</a> is the same length, whichever of the six types you join, so you can plan around it without checking.</p>\n<p>VALTS stands for Virtual Achologist Led Training Sessions, the live group training that runs through the community, facilitated by senior members.</p>\n<p>Ninety minutes is a deliberate choice. Long enough to actually practise something and get feedback on it, which twenty minutes never is. Short enough to fit inside a working day or an evening without swallowing it.</p>\n<p>Expect to be doing something for most of it: practising a skill with a partner, working through a case, or coaching and being coached in front of a group that will tell you honestly how it went. These sessions are built around participation rather than watching.</p>\n<p>Attending one earns 1 VALTS credit toward your <a href="/help/certificates-cpd-accreditation/six-achology-cpd-statuses/">member level</a>, once <a href="/help/certificates-cpd-accreditation/who-verifies-achology-cpd-claims/">verified</a>. If you want to see the full range of what runs, <a href="/help/events-and-mentorship/achology-live-events-types/">the types of live event inside Achology</a> covers it.</p>\n<p>> <strong>4 internal links. Deliberately the shortest article in the batch.</strong></p>
