lesson_key,course_number,section_order,lesson_number,lesson_name,standardised_question,transcript_word_count
001-001,001,1,1,Introducing the Diploma in Modern Applied Psychology,What makes Modern Applied Psychology different from psychology as most people picture it?,1043
001-002,001,1,2,Explaining the DiMAP Course Structure and Sections,How is the Diploma in Modern Applied Psychology structured?,1922
001-003,001,1,3,An Exploration of the 'Greater' Questions of Life,What are the bigger questions that psychology and philosophy ask about being human?,2144
001-004,001,1,4,Self-Assessment Test: Psychological Flexibility and Rigidity,How can you tell whether your own thinking is psychologically flexible or rigid?,2719
001-005,001,1,5,The (Main) Purpose of Modern Applied Psychology,What is the real purpose behind Modern Applied Psychology?,1649
001-006,001,1,6,A Guide to Developing Critical Thinking (Bloom's Taxonomy),How can Bloom's Taxonomy help you think more critically?,2571
001-007,001,1,7,Developing a Healthy Mindset for Reflective Study,How does understanding your own mind help you build a healthier mindset for study?,2427
001-008,001,1,8,The Three Levels of Knowing (and Understanding),What are the three stages we pass through on the way to really understanding something?,1354
001-009,001,1,9,A Guide to Exploring Various Psychological Perspectives,Why do different psychological perspectives interpret the same human experience so differently?,1800
001-010,001,1,10,Introducing the Early History of Psychological Thought,What did Plato believe learning and reality actually are?,2665
001-011,001,1,11,The Basis of Aristotelian Ethics,What are the three ideas at the heart of Aristotle's ethics?,3412
001-012,001,1,12,John Locke: All Ideas Originate From Experience,"According to John Locke, where do all our ideas actually come from?",2404
001-013,001,1,13,The Roots of Enlightenment and Human Awareness,Where do the roots of human enlightenment and self-awareness actually trace back to?,1864
001-014,001,1,14,A Reasoning Soul in the Machine (Rene Descartes),How does understanding the history of human thought help us make sense of the present?,2433
001-015,001,1,15,The Five Different Levels of Human Experience,What did René Descartes believe about the relationship between mind and body?,1550
001-016,001,1,16,Become the Self Which One Truly Is (Soren Kierkegaard),"According to Søren Kierkegaard, what does it mean to become the self you truly are?",2332
001-017,001,1,17,An Exercise for Existential Thinking (and Self-Reflection),Why do honesty and self-reflection matter so much to authenticity?,2512
001-018,001,1,18,19 Perspectives on the Meaning of Life (Part 1),What are some of the different ways people find meaning in life?,2968
001-019,001,1,19,19 Perspectives on the Meaning of Life (Part 2),How can looking at several perspectives on meaning help you define your own?,3210
001-020,001,1,20,Structuralism: The Beginnings of Psychological Study,How did structuralism become the first scientific approach to studying the mind?,2107
001-021,001,1,21,Functionalism: The Evolutionary Process of Thought,How does functionalism explain what our mental states are actually for?,1632
001-022,001,1,22,The 7 Primary Schools of Psychological Thought,What are the main schools of thought that have shaped modern psychology?,2035
001-023,001,1,23,Can Psychology be Regarded as an Empirical Science?,Can psychology really be considered an empirical science in the way physics or chemistry can?,1848
001-024,001,2,24,An Introduction to the Behavioural Psychology Section,What does behavioural psychology actually study?,2196
001-025,001,2,25,Learned Behaviour: The 'Monkey See-Monkey Do' Effect,How do behaviours spread through a group even without direct experience of what caused them?,1407
001-026,001,2,26,Understanding Behaviour: Questions for Self-Reflection,What can self-reflection reveal about your own habits and behaviour?,1747
001-027,001,2,27,The Behavioural Socialisation Process (Learned Behaviours),How do we learn to align our behaviour with the unwritten rules of our own society?,4661
001-028,001,2,28,The Three Main Types of Behavioural Conditioning,What are the three main ways we learn new behaviours?,1073
001-029,001,2,29,Pavlovian Psychology and Classical Conditioning,How did Ivan Pavlov demonstrate classical conditioning?,1184
001-030,001,2,30,The Formation of Memories and Behavioural Responses,Why do we remember some moments and not others?,2014
001-031,001,2,31,Associated Learning and Behavioural Responses,How does associative learning shape the way we understand the world?,2333
001-032,001,2,32,Symbolic Representations: The Structure of Meaning,How do symbols come to carry such deep meaning for us?,2404
001-033,001,2,33,Operant Conditioning and the Behavior of Organisms,How did B.F. Skinner explain the way consequences shape behaviour?,2316
001-034,001,2,34,Operant Conditioning: Further Distinctions,What are the different ways reinforcement and punishment actually work?,2017
001-035,001,2,35,Operant Conditioning: Questions for Your Self-Reflection,How does operant conditioning show up in your own daily decisions?,1152
001-036,001,2,36,Behaviourism: The Three Forms of Social Learning,What are the three forms of social learning that shape how we take on a culture?,4156
